sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
550;BME280;20066;48.764;9.176;2023-03-24T07:35:38;97312.84;;;14.08;75.70
550;BME280;20066;48.764;9.176;2023-03-24T07:38:11;97322.00;;;13.98;75.84
550;BME280;20066;48.764;9.176;2023-03-24T07:40:40;97327.31;;;14.02;76.64
550;BME280;20066;48.764;9.176;2023-03-24T07:43:08;97334.78;;;13.98;78.00
550;BME280;20066;48.764;9.176;2023-03-24T07:45:36;97331.03;;;14.08;76.53
550;BME280;20066;48.764;9.176;2023-03-24T07:48:05;97321.31;;;14.10;76.16
550;BME280;20066;48.764;9.176;2023-03-24T07:50:33;97330.03;;;13.85;78.20
550;BME280;20066;48.764;9.176;2023-03-24T07:53:01;97335.78;;;13.59;79.05
550;BME280;20066;48.764;9.176;2023-03-24T07:55:30;97340.06;;;14.17;76.97
550;BME280;20066;48.764;9.176;2023-03-24T07:57:58;97338.25;;;13.82;79.42
550;BME280;20066;48.764;9.176;2023-03-24T08:00:26;97339.44;;;13.81;78.80
550;BME280;20066;48.764;9.176;2023-03-24T08:02:55;97337.63;;;14.07;77.71
550;BME280;20066;48.764;9.176;2023-03-24T08:05:24;97340.25;;;14.10;78.19
550;BME280;20066;48.764;9.176;2023-03-24T08:07:53;97335.47;;;14.43;77.31
550;BME280;20066;48.764;9.176;2023-03-24T08:10:23;97334.56;;;14.21;78.07
550;BME280;20066;48.764;9.176;2023-03-24T08:12:54;97333.25;;;14.25;76.52
550;BME280;20066;48.764;9.176;2023-03-24T08:15:23;97343.75;;;14.78;75.59
550;BME280;20066;48.764;9.176;2023-03-24T08:17:52;97343.13;;;14.32;76.27
550;BME280;20066;48.764;9.176;2023-03-24T08:20:22;97339.66;;;14.03;78.16
550;BME280;20066;48.764;9.176;2023-03-24T08:22:52;97336.72;;;14.80;75.82
550;BME280;20066;48.764;9.176;2023-03-24T08:25:21;97310.09;;;14.24;76.11
550;BME280;20066;48.764;9.176;2023-03-24T08:27:50;97300.47;;;14.23;77.48
550;BME280;20066;48.764;9.176;2023-03-24T08:30:21;97298.69;;;14.04;79.69
550;BME280;20066;48.764;9.176;2023-03-24T08:32:52;97297.72;;;13.82;79.66
550;BME280;20066;48.764;9.176;2023-03-24T08:35:23;97280.22;;;14.15;77.51
550;BME280;20066;48.764;9.176;2023-03-24T08:37:51;97249.41;;;14.13;79.22
550;BME280;20066;48.764;9.176;2023-03-24T08:40:21;97234.16;;;14.32;79.56
550;BME280;20066;48.764;9.176;2023-03-24T08:42:51;97216.94;;;13.84;80.50
550;BME280;20066;48.764;9.176;2023-03-24T08:45:22;97211.03;;;14.02;79.20
550;BME280;20066;48.764;9.176;2023-03-24T08:47:53;97214.88;;;14.04;80.09
550;BME280;20066;48.764;9.176;2023-03-24T08:50:24;97213.59;;;14.21;78.47
550;BME280;20066;48.764;9.176;2023-03-24T08:52:54;97267.59;;;14.25;77.98
550;BME280;20066;48.764;9.176;2023-03-24T08:55:22;97268.34;;;14.38;77.45
550;BME280;20066;48.764;9.176;2023-03-24T08:57:51;97264.03;;;14.53;76.89
550;BME280;20066;48.764;9.176;2023-03-24T09:00:21;97275.94;;;14.94;74.75
550;BME280;20066;48.764;9.176;2023-03-24T09:02:50;97285.69;;;14.53;74.56
550;BME280;20066;48.764;9.176;2023-03-24T09:05:19;97297.34;;;14.25;75.48
550;BME280;20066;48.764;9.176;2023-03-24T09:08:02;97297.47;;;14.34;75.75
550;BME280;20066;48.764;9.176;2023-03-24T09:10:31;97290.38;;;14.65;74.05
550;BME280;20066;48.764;9.176;2023-03-24T09:12:59;97293.16;;;15.25;72.65
550;BME280;20066;48.764;9.176;2023-03-24T09:15:29;97287.22;;;14.92;73.71
550;BME280;20066;48.764;9.176;2023-03-24T09:17:58;97289.59;;;15.16;72.73
550;BME280;20066;48.764;9.176;2023-03-24T09:20:26;97308.25;;;14.88;73.62
550;BME280;20066;48.764;9.176;2023-03-24T09:22:54;97303.47;;;14.92;74.39
550;BME280;20066;48.764;9.176;2023-03-24T09:25:22;97296.44;;;15.20;72.52
550;BME280;20066;48.764;9.176;2023-03-24T09:27:54;97291.50;;;15.53;72.90
550;BME280;20066;48.764;9.176;2023-03-24T09:30:23;97297.16;;;15.33;71.79
550;BME280;20066;48.764;9.176;2023-03-24T09:32:52;97326.00;;;15.02;72.58
550;BME280;20066;48.764;9.176;2023-03-24T09:35:20;97318.34;;;15.13;70.31
550;BME280;20066;48.764;9.176;2023-03-24T09:37:48;97306.03;;;15.47;69.23
550;BME280;20066;48.764;9.176;2023-03-24T09:40:18;97290.13;;;15.36;68.43
550;BME280;20066;48.764;9.176;2023-03-24T09:42:53;97301.06;;;15.45;68.33
550;BME280;20066;48.764;9.176;2023-03-24T09:45:23;97305.44;;;15.30;68.32
550;BME280;20066;48.764;9.176;2023-03-24T09:47:58;97310.66;;;15.93;66.72
550;BME280;20066;48.764;9.176;2023-03-24T09:50:31;97306.72;;;16.29;64.65
550;BME280;20066;48.764;9.176;2023-03-24T09:53:05;97302.72;;;15.64;67.43
550;BME280;20066;48.764;9.176;2023-03-24T09:55:36;97308.50;;;16.23;65.14
550;BME280;20066;48.764;9.176;2023-03-24T09:58:05;97297.09;;;15.93;65.86
550;BME280;20066;48.764;9.176;2023-03-24T10:00:35;97291.16;;;16.51;64.32
550;BME280;20066;48.764;9.176;2023-03-24T10:03:13;97307.28;;;17.16;61.79
550;BME280;20066;48.764;9.176;2023-03-24T10:05:49;97287.16;;;17.05;61.03
550;BME280;20066;48.764;9.176;2023-03-24T10:08:24;97287.13;;;18.36;57.01
550;BME280;20066;48.764;9.176;2023-03-24T10:10:59;97284.16;;;19.09;55.57
550;BME280;20066;48.764;9.176;2023-03-24T10:13:35;97290.41;;;19.95;52.77
550;BME280;20066;48.764;9.176;2023-03-24T10:16:09;97297.13;;;18.90;54.71
550;BME280;20066;48.764;9.176;2023-03-24T10:18:44;97293.16;;;18.40;55.78
550;BME280;20066;48.764;9.176;2023-03-24T10:21:19;97291.06;;;17.89;57.22
550;BME280;20066;48.764;9.176;2023-03-24T10:23:52;97292.97;;;17.25;59.13
550;BME280;20066;48.764;9.176;2023-03-24T10:26:30;97282.16;;;17.80;57.68
550;BME280;20066;48.764;9.176;2023-03-24T10:29:13;97289.63;;;16.81;59.33
550;BME280;20066;48.764;9.176;2023-03-24T10:31:48;97294.72;;;16.70;59.55
550;BME280;20066;48.764;9.176;2023-03-24T10:34:20;97301.25;;;16.50;59.75
550;BME280;20066;48.764;9.176;2023-03-24T10:36:49;97292.75;;;16.70;58.13
550;BME280;20066;48.764;9.176;2023-03-24T10:39:17;97291.31;;;16.87;57.34
550;BME280;20066;48.764;9.176;2023-03-24T10:41:59;97308.94;;;16.74;57.34
550;BME280;20066;48.764;9.176;2023-03-24T10:44:28;97304.34;;;16.92;56.67
550;BME280;20066;48.764;9.176;2023-03-24T10:46:58;97306.56;;;17.16;56.04
550;BME280;20066;48.764;9.176;2023-03-24T10:49:30;97321.00;;;17.89;53.84
550;BME280;20066;48.764;9.176;2023-03-24T10:52:00;97317.06;;;17.81;53.81
550;BME280;20066;48.764;9.176;2023-03-24T10:54:30;97314.72;;;17.16;55.42
550;BME280;20066;48.764;9.176;2023-03-24T10:57:03;97335.91;;;16.99;56.19
550;BME280;20066;48.764;9.176;2023-03-24T10:59:38;97330.59;;;17.36;54.65
550;BME280;20066;48.764;9.176;2023-03-24T11:02:17;97331.00;;;16.32;57.11
550;BME280;20066;48.764;9.176;2023-03-24T11:04:53;97341.78;;;16.67;57.35
550;BME280;20066;48.764;9.176;2023-03-24T11:07:23;97349.13;;;16.88;56.39
550;BME280;20066;48.764;9.176;2023-03-24T11:10:01;97334.75;;;17.95;53.57
550;BME280;20066;48.764;9.176;2023-03-24T11:12:33;97331.69;;;17.38;54.11
550;BME280;20066;48.764;9.176;2023-03-24T11:15:13;97319.56;;;17.30;54.02
550;BME280;20066;48.764;9.176;2023-03-24T11:17:53;97314.81;;;17.89;52.39
550;BME280;20066;48.764;9.176;2023-03-24T11:20:28;97325.91;;;17.27;53.90
550;BME280;20066;48.764;9.176;2023-03-24T11:23:02;97333.47;;;17.41;53.51
550;BME280;20066;48.764;9.176;2023-03-24T11:25:32;97328.13;;;17.78;52.62
550;BME280;20066;48.764;9.176;2023-03-24T11:28:05;97336.13;;;17.81;51.78
550;BME280;20066;48.764;9.176;2023-03-24T11:30:44;97335.53;;;17.19;53.32
550;BME280;20066;48.764;9.176;2023-03-24T11:33:18;97342.44;;;17.51;52.04
550;BME280;20066;48.764;9.176;2023-03-24T11:36:05;97344.59;;;16.85;53.76
550;BME280;20066;48.764;9.176;2023-03-24T11:38:41;97337.09;;;17.29;52.24
550;BME280;20066;48.764;9.176;2023-03-24T11:41:18;97339.91;;;17.93;50.67
550;BME280;20066;48.764;9.176;2023-03-24T11:43:47;97365.53;;;17.46;51.93
550;BME280;20066;48.764;9.176;2023-03-24T11:46:17;97337.50;;;17.77;50.50
550;BME280;20066;48.764;9.176;2023-03-24T11:48:49;97346.34;;;17.50;51.10
550;BME280;20066;48.764;9.176;2023-03-24T11:51:26;97340.13;;;17.40;51.54
550;BME280;20066;48.764;9.176;2023-03-24T11:53:57;97347.81;;;16.92;52.10
550;BME280;20066;48.764;9.176;2023-03-24T11:56:31;97345.63;;;17.58;50.47
550;BME280;20066;48.764;9.176;2023-03-24T11:59:05;97331.56;;;17.60;50.12
550;BME280;20066;48.764;9.176;2023-03-24T12:01:41;97331.19;;;18.07;48.48
550;BME280;20066;48.764;9.176;2023-03-24T12:04:23;97363.63;;;17.16;50.58
550;BME280;20066;48.764;9.176;2023-03-24T12:07:08;97344.22;;;16.43;51.70
550;BME280;20066;48.764;9.176;2023-03-24T12:09:44;97349.50;;;17.39;50.16
550;BME280;20066;48.764;9.176;2023-03-24T12:12:22;97334.13;;;17.45;49.35
550;BME280;20066;48.764;9.176;2023-03-24T12:15:06;97325.03;;;17.48;48.96
550;BME280;20066;48.764;9.176;2023-03-24T12:18:00;97345.41;;;17.04;49.34
550;BME280;20066;48.764;9.176;2023-03-24T12:20:39;97339.88;;;17.65;48.47
550;BME280;20066;48.764;9.176;2023-03-24T12:23:14;97337.63;;;17.82;47.14
550;BME280;20066;48.764;9.176;2023-03-24T12:26:01;97328.38;;;17.52;47.85
550;BME280;20066;48.764;9.176;2023-03-24T12:28:54;97341.63;;;17.32;48.84
550;BME280;20066;48.764;9.176;2023-03-24T12:31:51;97336.72;;;17.67;47.96
550;BME280;20066;48.764;9.176;2023-03-24T12:37:24;97342.06;;;17.21;48.92
550;BME280;20066;48.764;9.176;2023-03-24T12:40:10;97340.81;;;16.82;49.56
550;BME280;20066;48.764;9.176;2023-03-24T12:42:45;97354.03;;;16.49;51.09
550;BME280;20066;48.764;9.176;2023-03-24T12:45:25;97357.72;;;17.17;48.78
550;BME280;20066;48.764;9.176;2023-03-24T12:48:21;97344.41;;;17.10;49.38
550;BME280;20066;48.764;9.176;2023-03-24T12:51:07;97351.03;;;17.49;49.17
550;BME280;20066;48.764;9.176;2023-03-24T12:53:47;97333.69;;;16.76;50.97
550;BME280;20066;48.764;9.176;2023-03-24T12:56:25;97340.81;;;16.82;51.51
550;BME280;20066;48.764;9.176;2023-03-24T12:58:59;97326.56;;;17.49;49.63
550;BME280;20066;48.764;9.176;2023-03-24T13:01:32;97330.88;;;16.88;51.19
550;BME280;20066;48.764;9.176;2023-03-24T13:04:06;97314.59;;;16.98;50.80
550;BME280;20066;48.764;9.176;2023-03-24T13:06:38;97310.06;;;16.94;51.33
550;BME280;20066;48.764;9.176;2023-03-24T13:09:18;97310.22;;;17.31;50.56
550;BME280;20066;48.764;9.176;2023-03-24T13:11:56;97312.72;;;17.07;50.80
